Company Code;Customer Name;Postal Code;City;Customer;Country/Reg.;Journal Entry Type;Debit/Credit;Journal Entry;Journal Entry Date;Posting Date;Net Due Date;Amount (CoCode Crcy);Transaction Currency;Payment Terms;Payment Method;Reference;Item Text;Clearing Status;Special G/L;Due Net (Symbol);Clearing Journal Entry
1000;MELJAC NORTH AMERICA;90039;LOS ANGELES;1006129;US;UE;S;400002398;12.10.2023;01.11.2023;12.10.2023;839,70  EUR;EUR;;T;10-16 785/;MELJAC NORTH AMERICA;2;;3;
1000;MELJAC NORTH AMERICA;90039;LOS ANGELES;1006129;US;UE;S;400002397;12.10.2023;01.11.2023;12.10.2023;2 162,26  EUR;EUR;;T;10-16 784/;MELJAC NORTH AMERICA;2;;3;
1000;MELJAC NORTH AMERICA;90039;LOS ANGELES;1006129;US;UE;S;400002396;12.10.2023;01.11.2023;12.10.2023;760,06  EUR;EUR;;T;10-16 783/;MELJAC NORTH AMERICA;2;;3;
1000;MELJAC NORTH AMERICA;90039;LOS ANGELES;1006129;US;UE;S;400002395;12.10.2023;01.11.2023;12.10.2023;4 299,51  EUR;EUR;;T;10-16 782/;MELJAC NORTH AMERICA;2;;3;
1000;MELJAC NORTH AMERICA;90039;LOS ANGELES;1006129;US;UE;S;400002394;12.10.2023;01.11.2023;12.10.2023;6 183,93  EUR;EUR;;T;10-16 781/;MELJAC NORTH AMERICA;2;;3;
1000;MELJAC NORTH AMERICA;90039;LOS ANGELES;1006129;US;UE;S;400002393;12.10.2023;01.11.2023;12.10.2023;498,55  EUR;EUR;;T;10-16 780/;MELJAC NORTH AMERICA;2;;3;
1000;MELJAC NORTH AMERICA;90039;LOS ANGELES;1006129;US;UE;S;400002392;12.10.2023;01.11.2023;12.10.2023;225,38  EUR;EUR;;T;10-16 779/;MELJAC NORTH AMERICA;2;;3;
1000;MELJAC NORTH AMERICA;90039;LOS ANGELES;1006129;US;UE;S;400002390;12.10.2023;01.11.2023;12.10.2023;919,33  EUR;EUR;;T;10-16 778/;MELJAC NORTH AMERICA;2;;3;
1000;MELJAC NORTH AMERICA;90039;LOS ANGELES;1006129;US;UE;S;400002387;12.10.2023;01.11.2023;12.10.2023;1 065,89  EUR;EUR;;T;10-16 777/;MELJAC NORTH AMERICA;2;;3;
1000;INTRAMETAL;93100;MONTREUIL;1006212;FR;UE;S;400002385;12.10.2023;01.11.2023;12.10.2023;3 232,00  EUR;EUR;;T;10-16 771/;INTRAMETAL;2;;3;
1000;ASSA ABLOY HOSPITALITY SAS;92150;SURESNES;1007307;FR;UE;H;400002383;12.10.2023;01.11.2023;11.11.2023;- 565,49  EUR;EUR;;T;10-16 767/;ASSA ABLOY HOSPITALITY SAS;2;;3;
1000;STUDIO ON;75011;PARIS;1007053;FR;UE;H;400002382;12.10.2023;01.11.2023;26.11.2023;- 137,82  EUR;EUR;;T;10-16 766/;STUDIO ON;2;;3;
1000;STUDIO ON;75011;PARIS;1007053;FR;UE;H;400002381;12.10.2023;01.11.2023;26.11.2023;- 180,37  EUR;EUR;;T;10-16 765/;STUDIO ON;2;;3;
1000;ROGER-DUBOIS S.A.S;92220;BAGNEUX;1006373;FR;UE;H;400002380;12.10.2023;01.11.2023;10.12.2023;- 139,34  EUR;EUR;;T;10-16 764/;ROGER-DUBOIS S.A.S;2;;3;
1000;ROGER-DUBOIS S.A.S;92220;BAGNEUX;1006373;FR;UE;H;400001319;12.10.2023;01.11.2023;12.10.2023;- 24 813,12  EUR;EUR;;T;OGP-11 414/;CDE CD231112;2;;3;
1000;ANA MD PRODUCTOS PARA INTERIORES;3070-743;PRAIA DE MIRA;1000060;PT;UE;H;400001048;12.10.2023;01.11.2023;12.10.2023;- 6,80  EUR;EUR;;T;OGD-21 419/;VIRT ANAMO PRODCUTOS PARA INTERIORE;2;;3;
1000;ENVIRON AUDIO LTD;SW9 6DE;LONDON;1005243;GB;UE;H;400001047;12.10.2023;01.11.2023;12.10.2023;- 4 266,85  EUR;EUR;;T;OGD-21 415/;VIRT CDE 202302829 ENVIRON AUDIO;2;;3;
1000;ANA MD PRODUCTOS PARA INTERIORES;3070-743;PRAIA DE MIRA;1000060;PT;UE;H;400000993;12.10.2023;01.11.2023;12.10.2023;- 34,02  EUR;EUR;;T;OGD-11 419/;VIRT CDE 202305979 ANAMO PRODCUTOS;2;;3;
1000;ENVIRON AUDIO LTD;SW9 6DE;LONDON;1005243;GB;UE;H;400000992;12.10.2023;01.11.2023;12.10.2023;- 19 508,07  EUR;EUR;;T;OGD-11 415/;VIRT CDE 202301209 ENVIRON AUDIO;2;;3;
1000;BATON ET FILS;2470;NEUILLY ST FRONT;1004197;FR;UE;H;400000914;12.10.2023;01.11.2023;12.10.2023;- 526,39  EUR;EUR;;C;OG1-11 416/;CHQ CDE 202305977 SAS BATON ET FILS;2;;3;
1000;SONEPAR ILE DE France MALAKOFF;92245;MALAKOFF CEDEX;1001905;FR;UE;S;400002379;11.10.2023;01.11.2023;30.11.2023;189,74  EUR;EUR;;T;10-16 753/;SONEPAR ILE DE FRANCE;2;;3;
