Company Code;Customer Name;Postal Code;City;Customer;Country/Reg.;Journal Entry Type;Debit/Credit;Journal Entry;Journal Entry Date;Posting Date;Net Due Date;Amount (CoCode Crcy);Transaction Currency;Payment Terms;Payment Method;Reference;Item Text;Clearing Status;Special G/L;Due Net (Symbol);Clearing Journal Entry
1000;APEM;82300;Caussade;1000001;FR;DR;S;1800000002;07.04.2024;07.04.2024;07.04.2024;1 200,00  EUR;EUR;;;;;2;;3;
1000;TEST AROUND PROJECT;06400;CANNES;1000000;FR;RV;S;90000014;21.03.2024;21.03.2024;21.03.2024;100,32  EUR;EUR;0001;;0090000027;;2;;3;
1000;ELECTR'A;95170;DEUIL LA BARRE;1001366;FR;DR;S;1800000000;20.03.2024;20.03.2024;20.03.2024;55 000,00  EUR;EUR;0001;;;;2;;3;
1000;TEST AROUND PROJECT;06400;CANNES;1000000;FR;RV;H;90000015;15.03.2024;15.03.2024;15.03.2024;- 98,03  EUR;EUR;0001;;0090000027;;2;;3;
1000;TEST AROUND PROJECT;06400;CANNES;1000000;FR;RV;S;90000013;14.03.2024;14.03.2024;14.03.2024;0,95  EUR;EUR;0001;;0090000016;;2;;3;
1000;TEST AROUND PROJECT;06400;CANNES;1000000;FR;RV;S;90000012;14.03.2024;14.03.2024;14.03.2024;0,41  EUR;EUR;0001;;0090000016;;2;;3;
1000;REXEL FRANCE IDFC;93365;NEUILLY PLAISANCE;1005642;FR;RV;H;90000011;11.03.2024;11.03.2024;15.04.2024;- 2,04  EUR;EUR;3015;;0090000023;;2;;1;test
1000;REXEL FRANCE IDFC;93365;NEUILLY PLAISANCE;1005642;FR;RV;S;90000010;11.03.2024;11.03.2024;15.05.2024;2,04  EUR;EUR;3015;;0090000023;;2;;1;
1000;TEST AROUND PROJECT;06400;CANNES;1000000;FR;RV;H;90000009;11.03.2024;11.03.2024;11.03.2024;- 2,29  EUR;EUR;0001;;0090000016;;2;;3;
1000;SINEQUALIGHT PARIS;75002;PARIS;1002718;FR;RV;H;90000008;07.03.2024;07.03.2024;07.03.2024;- 2,04  EUR;EUR;AVEX;;0090000017;;2;;3;
1000;BLACK NOVA ITALIA SRL;20088;ROSATE;1002521;IT;RV;S;90000007;07.03.2024;07.03.2024;06.04.2024;2,12  EUR;EUR;NT30;;0090000020;;2;;3;
1000;PETER MEYER;26789;LEER;1006872;DE;RV;S;90000006;07.03.2024;07.03.2024;07.03.2024;1,91  EUR;EUR;AVEX;;0090000019;;2;;3;
1000;REXEL FRANCE IDFC;93365;NEUILLY PLAISANCE;1005642;FR;RV;S;90000005;07.03.2024;07.03.2024;15.05.2024;2,04  EUR;EUR;3015;;0090000018;;2;;1;
1000;SINEQUALIGHT PARIS;75002;PARIS;1002718;FR;RV;S;90000004;07.03.2024;07.03.2024;07.03.2024;2,04  EUR;EUR;AVEX;;0090000017;;2;;3;
1000;TEST AROUND PROJECT;06400;CANNES;1000000;FR;RV;S;90000003;06.03.2024;06.03.2024;06.03.2024;2,29  EUR;EUR;0001;;0090000016;;2;;3;
1000;GYPSE AFRICA;BP 4083;YAOUNDE;1003933;CM;RV;S;90000001;29.02.2024;29.02.2024;29.02.2024;2,12  EUR;EUR;AVEX;;0090000014;;2;;3;
1000;TEST AROUND PROJECT;06400;CANNES;1000000;FR;RV;S;90000002;28.02.2024;28.02.2024;28.02.2024;2,29  EUR;EUR;0001;;0090000015;;2;;3;
1000;TEST AROUND PROJECT;06400;CANNES;1000000;FR;RV;S;90000000;12.01.2024;12.01.2024;12.01.2024;108,00  EUR;EUR;0001;;0090000013;;2;;3;
1000;PROLUM CHAMPAGNE ARDENNE;10600;LA CHAPELLE ST LUC;1000148;FR;DR;S;1800000002;14.12.2023;14.12.2023;14.12.2023;12 000,00  EUR;EUR;AVEX;;A;;2;;3;
1000;TEST AROUND PROJECT;06400;CANNES;1000000;FR;RV;S;90000012;07.12.2023;07.12.2023;07.12.2023;88,22  EUR;EUR;0001;;0090000012;;2;;3;
1000;YESSS ELECTRIQUE LE MANS;72100;LE MANS;1000187;FR;RV;S;90000011;07.12.2023;07.12.2023;07.12.2023;19,20  EUR;EUR;AVEX;;0090000011;;2;;3;
1000;SINCLAIR DIGITAL;76102;FORTH WORTH;1000170;US;RV;S;90000010;01.12.2023;01.12.2023;01.12.2023;240,00  EUR;EUR;AVEX;;0090000010;;2;;3;
1000;LISAR SPA;22070;CARBONATE;1000127;IT;RV;S;90000009;01.12.2023;01.12.2023;01.12.2023;222,50  EUR;EUR;AVEX;;0090000009;;2;;3;
1000;AMB;06250;MOUGINS;1000057;FR;RV;S;90000008;01.12.2023;01.12.2023;01.12.2023;120,00  EUR;EUR;AVEX;;0090000008;;2;;3;
1000;PROLUM CHAMPAGNE ARDENNE;10600;LA CHAPELLE ST LUC;1000148;FR;DZ;H;1400000035;30.11.2023;30.11.2023;30.11.2023;- 670,08  EUR;EUR;;;W9P9VNX;W9P9VNX VIR INSTANT. S.A.S. RGS LIBACOMPTE DEVIS 2;2;;3;
1000;TEST AROUND PROJECT;06400;CANNES;1000000;FR;RV;S;90000007;24.11.2023;24.11.2023;24.11.2023;108,00  EUR;EUR;0001;;0090000006;;2;;3;
1000;REXEL PESSAC;33600;PESSAC;1000154;FR;DR;S;1800000001;23.11.2023;23.11.2023;10.12.2023;1 000,00  EUR;EUR;3010;;1312;;2;;3;
1000;PROLUM CHAMPAGNE ARDENNE;10600;LA CHAPELLE ST LUC;1000148;FR;DZ;H;1400000038;26.10.2023;26.10.2023;26.10.2023;- 1 127,00  EUR;EUR;;;W9LRQVA;W9LRQVA VIR INSTANT. KW INTERIEUR LIBC0168A4212E64;2;;3;
1000;AAFAIR;75013;PARIS;1001828;FR;UE;H;400001327;16.10.2023;01.11.2023;16.10.2023;- 167,29  EUR;EUR;;T;OGP-11 428/;VIRT CDE 202306016 SARL AAFAIR;2;;3;
1000;DELPHINE MINAS;75007;PARIS;1000089;FR;UE;H;400001326;16.10.2023;01.11.2023;16.10.2023;- 550,00  EUR;EUR;;T;OGP-11 426/;VIRT CDE 202304851 MR MATTHIEU;2;;3;
1000;SARL FASOLATO;98000;MONACO;1001484;MC;UE;H;400000915;16.10.2023;01.11.2023;16.10.2023;- 1 782,76  EUR;EUR;;C;OG1-11 431/;CHQ CDE 202305053 FASOLATO SARL;2;;3;
1000;RUE ET LORENZI S.A.M;98000;MONACO;1001789;MC;UE;H;400001325;13.10.2023;01.11.2023;13.10.2023;- 20 873,36  EUR;EUR;;T;OGP-11 424/;ACPT 50 % DEVIS 202305470;2;;3;
1000;E.R.P.;75015;PARIS;1007198;FR;UE;H;400001324;13.10.2023;01.11.2023;13.10.2023;- 14 000,00  EUR;EUR;;T;OGP-11 423/;CDE 202305930;2;;3;
1000;KAPIVAL;75016;PARIS;1003804;FR;UE;H;400001323;13.10.2023;01.11.2023;13.10.2023;- 1 848,71  EUR;EUR;;T;OGP-11 421/;ACPT 50 % CDE 202306010;2;;3;
1000;KAPIVAL;75016;PARIS;1003804;FR;UE;H;400001322;13.10.2023;01.11.2023;13.10.2023;- 1 793,08  EUR;EUR;;T;OGP-11 420/;ACPT 50 % CDE 202306009;2;;3;
