Raison sociale;Code postal;Ville;Tiers facturé;Pays;Nature;Numéro;Date pièce;Date Eche.;Devise;Total TTC;Acompte;Net à payer;Conditions de règlement;Code SIRET;Secteur activité;Commentaire;Tiers;Modifiable
FINEST INTERIORS;8304;WALLISELLEN (ZH);C11262;SUISSE;Facture client;202401380;08/03/2024;08/03/2024;EUR;169,27;0;169,27;V05;;013;;11262;FAUX
FINEST INTERIORS;8304;WALLISELLEN (ZH);C11262;SUISSE;Facture client;202401381;08/03/2024;08/03/2024;EUR;1;0;1;V04;;013;;11262;FAUX
DNA MODELS;NY-10001;NEW YORK CITY;C15245;ETATS UNIS D'AMERIQUE;Facture client;202401382;08/03/2024;08/03/2024;EUR;244;244;0;V05;;009;;15245;FAUX
NUCLEUS AV;NW2 2NY;LONDON;C17731;ROYAUME UNI;Facture client;202401383;08/03/2024;08/03/2024;EUR;1,99;0;1,99;V04;;001;;17731;FAUX
REMI TESSIER DESIGN;75008;PARIS;C85120;FRANCE;Facture client;202401384;08/03/2024;08/03/2024;EUR;284,52;285;0;CPT;;002;;8512;FAUX
HENRI;94300;VINCENNES;C77800;FRANCE;Facture client;202401385;08/03/2024;07/04/2024;EUR;184,08;0;184,08;V07;70201645200022;001;5339496;778;FAUX
HENRI;94300;VINCENNES;C77800;FRANCE;Facture client;202401386;08/03/2024;07/04/2024;EUR;4336,43;0;4336,43;V07;70201645200022;001;5339496;778;FAUX
SONEPAR FRANCE DISTRIBUTION PDA;92546;MONTROUGE CEDEX;C17401;FRANCE;Facture client;202401387;08/03/2024;30/04/2024;EUR;47,11;0;47,11;V13;95650036700910;008;7238670;17401;FAUX
ENTREPRISE TRAVAUX BATIMENT;94700;MAISONS ALFORT;C18939;FRANCE;Facture client;202401388;08/03/2024;08/03/2024;EUR;159,71;160;0;CPT;839660529;001;;18939;FAUX
ANGE & LUX;42000;ST ETIENNE;C82790;FRANCE;Facture client;202401389;08/03/2024;30/04/2024;EUR;231,3;0;231,3;V08;49130847400015;006;4640864;8279;FAUX
ARCHITECTURE DETAILS SPRL;1180;BRUXELLES;C63480;BELGIQUE;Facture client;202401390;08/03/2024;07/04/2024;EUR;147,84;0;147,84;V07;;013;4640923;6348;FAUX
ETS LEBRUN ELECTRICITE;75013;PARIS;C91300;FRANCE;Facture client;202401391;08/03/2024;07/04/2024;EUR;276,98;0;276,98;V07;378155824;001;4672955;913;FAUX
HOTEL MEURICE;75001;PARIS;C78900;FRANCE;Facture client;202401392;08/03/2024;07/04/2024;EUR;1265,38;0;1265,38;V07;34503490400028;022;5596457;789;FAUX
PROLUM NORD PAS DE CALAIS;59710;AVELIN;C86330;FRANCE;Facture client;202401393;08/03/2024;30/04/2024;EUR;4720,34;0;4720,34;V08;44838434700044;006;4672951;8633;FAUX
VOLTEX SN;31300;TOULOUSE;C15520;FRANCE;Facture client;202401394;08/03/2024;30/04/2024;EUR;167,71;0;167,71;V08;39156782300011;006;4718351;1552;FAUX
ASSA ABLOY HOSPITALITY SAS;92150;SURESNES;C10085;FRANCE;Facture client;202401395;08/03/2024;10/04/2024;EUR;451,49;0;451,49;V06;323946863;005;6542137;10085;FAUX
VOLTEX SN;31300;TOULOUSE;C15520;FRANCE;Facture client;202401396;08/03/2024;30/04/2024;EUR;3251,81;0;3251,81;V08;39156782300011;006;4718351;1552;FAUX
JOLENABOU;75017;PARIS;C16121;FRANCE;Facture client;202401397;08/03/2024;08/03/2024;EUR;120,06;120;0;CPT;894027481;014;;16121;FAUX
