Titre : Paiements;;;;;;;;;;;;;;;;
Compte client : 78569-MELJAC-Standard-Domestique-EUR;;;;;;;;;;;;;;;;
Export réalisé le : 21/03/2024;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Raison sociale;SIREN;NIC;Code acheteur;Ma référence;Mode de paiement;Date de saisie;Montant (EUR);Montant affecté (EUR);Solde;Statut;Numéro de paiement;Date d'échéance;Motif de non affectation;Nom du donneur d'ordre;Numéro du document;Type de document
CLAUDE MERMIN ELECTRICITE;320917107;56;6309680;1047;Virement;21/03/2024;101,86;101,86;0;Paiement affecté;70259945;-;;SOCIETE CLAUDE MERMIN ELECTRICITE G;202400820;Facture
BALANCE MELJAC;999018989;78569;7777777;;Chèque;21/03/2024;3 857,39;0;3 857,39;Paiement non affecté;70259940;-;En cours de qualification ;                                   ;;SOLDE
BALANCE MELJAC;999018989;78569;7777777;;Virement;21/03/2024;1 051,48;0;1 051,48;Paiement non affecté;70259942;-;En cours de qualification 202303061 2023-05-10 PAYMENT AMT 1051.48 EUR 0000000;DISTRIBUTION D APPAREILLAGE ELECTRI;;SOLDE
BALANCE MELJAC;999018989;78569;7777777;;Virement;21/03/2024;225,48;0;225,48;Paiement non affecté;70259944;-;En cours de qualification VIREMENT DE SARL DENIS MATHEZ ENTRE;SARL  DENIS MATHEZ ENTREPRISE      ;;SOLDE
BALANCE MELJAC;999018989;78569;7777777;;Virement;21/03/2024;43,99;0;43,99;Paiement non affecté;70259947;-;En cours de qualification VIREMENT DE SARL DENIS MATHEZ ENTRE;SARL  DENIS MATHEZ ENTREPRISE      ;;SOLDE
ANGE ET LUX;491308474;23;4640864;8279;Virement;20/03/2024;2,96;2,96;0;Paiement affecté;70251632;-;;ANGE ET LUX                        ;202401071;Facture
VIBERT ECLAIRAGE;491158127;36;4640866;4085;Virement;20/03/2024;18 911,93;18 911,93;0;Paiement affecté;70251629;-;;SARL  VIBERT ECLAIRAGE             ;plusieurs documents associées;SOLDE
ENT D'ELECTRICITE BRENGUIER;423072172;38;4844999;264;Virement;20/03/2024;27,4;27,4;0;Paiement affecté;70251631;-;;SARL ENT D ELECTRICITE BRENGUIER   ;202401365;Facture
VALENTE DESIGN;481328904;26;4640845;1518;Virement;19/03/2024;3 435,25;3 435,25;0;Paiement affecté;70241187;-;;VALENTE DESIGN                     ;plusieurs documents associées;SOLDE
ETS PEZANT;582073029;57;4640871;5953;Virement;19/03/2024;4,04;4,04;0;Paiement affecté;70241190;-;;ETS PEZANT                         ;202400728;Facture
MAWA;499761567;35;6946719;c15096;Virement;19/03/2024;4 825,31;4 825,31;0;Paiement affecté;70241185;-;;MAWA SAS                           ;plusieurs documents associées;SOLDE
BALANCE MELJAC;999018989;78569;7777777;;Virement;19/03/2024;17,34;17,34;0;Paiement affecté;70241189;-;;SARL OBJECTIF LU                   ;plusieurs documents associées;SOLDE
OBJECTIF LUMIERE;821619921;17;5232333;10396;Virement;19/03/2024;17,34;17,34;0;Paiement affecté;70241189;-;;SARL OBJECTIF LU                   ;202308075;Facture
JEUX DE LUMIERE;489582320;29;4646611;850;Virement;18/03/2024;448,56;448,56;0;Paiement affecté;70218064;-;;S.A.R.L. JEUX DE LUMIERE           ;plusieurs documents associées;SOLDE
REXEL FRANCE;309304616;860;4665279;1344;Virement;18/03/2024;4 898,80;4 898,80;0;Paiement affecté;70218062;-;;REXEL FRANCE                       ;plusieurs documents associées;SOLDE
BALANCE MELJAC;999018989;78569;7777777;;Virement;18/03/2024;19,3;19,3;0;Paiement affecté;70218066;-;;SONEPAR FRANCE DISTRIBUTION        ;plusieurs documents associées;SOLDE
