Company Code;Customer Name;Postal Code;City;Customer;Country/Reg.;Journal Entry Type;Debit/Credit;Journal Entry;Journal Entry Date;Posting Date;Net Due Date;Amount (CoCode Crcy);Transaction Currency;Payment Terms;Payment Method;Reference;Item Text;Clearing Status;Special G/L;Due Net (Symbol);Clearing Journal Entry
1000;HOTEL FELICIEN;75116;PARIS;1000766;FR;UE;H;400001315;11.10.2023;01.11.2023;11.10.2023;- 2 445,32  EUR;EUR;;T;OGP-11 405/;VIRT CDE 202305921 FELICIEN;2;;3;2587690
1000;FANTON D'ANDON;75019;PARIS;1000100;FR;UE;H;400001147;11.10.2023;01.11.2023;11.10.2023;- 1 121,64  EUR;EUR;;B;OGH-11 411/;CB CDE 202305955 FANTON D'ANDON;2;;3;2587690
1000;HIN PLUS;92310;SEVRES;1004388;FR;UE;H;400000793;11.10.2023;01.11.2023;11.10.2023;- 191,69  EUR;EUR;;B;CB2-11 033/;CB HIN PLUS FAC 202306286;2;;3;2587690
1000;FINEST INTERIORS;8304;WALLISELLEN (ZH);1006707;CH;UE;H;400000764;11.10.2023;01.11.2023;11.10.2023;- 50,56  EUR;EUR;;T;15-5690/;VIRT FINEST INTERIORS AN FA23/06010;2;;3;2587690
1000;FANTON D'ANDON;75019;PARIS;1000100;FR;UE;S;400000011;11.10.2023;01.11.2023;11.10.2023;57,16  EUR;EUR;;B;10-16 762/;FANTON D'ANDON;2;;3;2587690
1000;FRANKLIN AZZI;75005;PARIS;1000104;FR;UE;S;400000009;11.10.2023;01.11.2023;11.10.2023;187,36  EUR;EUR;;T;10-16 743/;FRANKLIN AZZI;2;;3;2587690
1000;ONLYTEC SP.Z O.O.;04-884;WARSAW;1003104;PL;UE;S;400002375;10.10.2023;01.11.2023;10.10.2023;183,83  EUR;EUR;;T;10-16 721/;ONLYTEC SP.Z O.O.;2;;3;2587690
1000;ONLYTEC SP.Z O.O.;04-884;WARSAW;1003104;PL;UE;S;400002374;10.10.2023;01.11.2023;10.10.2023;88,80  EUR;EUR;;T;10-16 720/;ONLYTEC SP.Z O.O.;2;;3;2587690
1000;HED CINEMA LTD;4668600;HERZELIA PITUAH;1000698;IL;UE;S;400002373;10.10.2023;01.11.2023;10.10.2023;441,33  EUR;EUR;;T;10-16 709/;HED CINEMA LTD;2;;3;2587690
1000;ETABLISSEMENTS TECHNIQUES FRAGNI�RE;1630;BULLE;1004824;CH;UE;S;400002372;10.10.2023;01.11.2023;10.10.2023;145,00  EUR;EUR;;T;10-16 708/;ETABLISSEMENTS TECHNIQUES FRAGNI�RE;2;;3;2587690
1000;ETABLISSEMENTS RAVAT BAINEE;94200;IVRY SUR SEINE;1001859;FR;UE;H;400001314;10.10.2023;01.11.2023;10.10.2023;- 50,52  EUR;EUR;;T;OGP-11 402/;VIRT CDE 202305909 ETS RAVAT BAINEE;2;;3;2587690
1000;MONT-BLANC RENOV'ALL;74170;ST GERVAIS LES BAINS;1002193;FR;UE;H;400001313;10.10.2023;01.11.2023;10.10.2023;- 166,36  EUR;EUR;;T;OGP-11 401/;VIRT CDE 202305850 EURL MONT BLANC;2;;3;2587690
1000;GUIJARRO JEAN PIERRE;92140;CLAMART;1001197;FR;UE;H;400001146;10.10.2023;01.11.2023;10.10.2023;- 265,13  EUR;EUR;;B;OGH-11 404/;CB CDE 202305905 GUIJARO JEAN PIERR;2;;3;2587690
1000;SAMMAN GROUP;13781;RIYADH;1000160;SA;UE;H;400000990;10.10.2023;01.11.2023;10.10.2023;- 4 279,33  EUR;EUR;;T;OGD-11 403/;VIRT CDE 202305739 AL SAMMAN CONSTR;2;;3;2587690
1000;STYLAGOS;75008;PARIS;1001686;FR;UE;H;400000913;10.10.2023;01.11.2023;10.10.2023;- 279,49  EUR;EUR;;T;OG1-11 406/;VIRT CDE 202305636 STYLAGOS;2;;3;2587690
