Company Code;Customer Name;Postal Code;City;Customer;Country/Reg.;Journal Entry Type;Debit/Credit;Journal Entry;Journal Entry Date;Posting Date;Net Due Date;Amount (CoCode Crcy);Transaction Currency;Payment Terms;Payment Method;Reference;Item Text;Clearing Status;Special G/L;Due Net (Symbol);Clearing Journal Entry
1000;ROGER-DUBOIS S.A.S;92220;BAGNEUX;1006373;FR;UE;H;400002380;12.10.2023;01.11.2023;10.12.2023;- 139,34  EUR;EUR;;T;10-16 764/;ROGER-DUBOIS S.A.S;2;;3;2587690
1000;ROGER-DUBOIS S.A.S;92220;BAGNEUX;1006373;FR;UE;H;400001319;12.10.2023;01.11.2023;12.10.2023;- 24 813,12  EUR;EUR;;T;OGP-11 414/;CDE CD231112;2;;3;2587690
1000;ANA MD PRODUCTOS PARA INTERIORES;3070-743;PRAIA DE MIRA;1000060;PT;UE;H;400001048;12.10.2023;01.11.2023;12.10.2023;- 6,80  EUR;EUR;;T;OGD-21 419/;VIRT ANAMO PRODCUTOS PARA INTERIORE;2;;3;2587690
1000;ENVIRON AUDIO LTD;SW9 6DE;LONDON;1005243;GB;UE;H;400001047;12.10.2023;01.11.2023;12.10.2023;- 4 266,85  EUR;EUR;;T;OGD-21 415/;VIRT CDE 202302829 ENVIRON AUDIO;2;;3;2587690
1000;ANA MD PRODUCTOS PARA INTERIORES;3070-743;PRAIA DE MIRA;1000060;PT;UE;H;400000993;12.10.2023;01.11.2023;12.10.2023;- 34,02  EUR;EUR;;T;OGD-11 419/;VIRT CDE 202305979 ANAMO PRODCUTOS;2;;3;2587690
1000;ENVIRON AUDIO LTD;SW9 6DE;LONDON;1005243;GB;UE;H;400000992;12.10.2023;01.11.2023;12.10.2023;- 19 508,07  EUR;EUR;;T;OGD-11 415/;VIRT CDE 202301209 ENVIRON AUDIO;2;;3;2587690
1000;BATON ET FILS;2470;NEUILLY ST FRONT;1004197;FR;UE;H;400000914;12.10.2023;01.11.2023;12.10.2023;- 526,39  EUR;EUR;;C;OG1-11 416/;CHQ CDE 202305977 SAS BATON ET FILS;2;;3;2587690
1000;SONEPAR ILE DE France MALAKOFF;92245;MALAKOFF CEDEX;1001905;FR;UE;S;400002379;11.10.2023;01.11.2023;30.11.2023;189,74  EUR;EUR;;T;10-16 753/;SONEPAR ILE DE FRANCE;2;;3;2587690
1000;IK ELECTRICITE;74700;DOMANCY;1002641;FR;UE;S;400002378;11.10.2023;01.11.2023;11.10.2023;66,82  EUR;EUR;;T;10-16 746/;IK ELECTRICITE;2;;3;2587690
1000;CIRCUIBAT SOLUTION;95100;ARGENTEUIL;1002754;FR;UE;S;400002377;11.10.2023;01.11.2023;11.10.2023;1 928,23  EUR;EUR;;B;10-16 738/;CIRCUIBAT SOLUTION;2;;3;2587690
1000;YOU REFURBISHMENTS LTD;RM17 5XY;ESSEX;1002732;GB;UE;S;400002376;11.10.2023;01.11.2023;11.10.2023;40,00  EUR;EUR;;T;10-16 729/;YOU REFURBISHMENTS LTD;2;;3;2587690
1000;CC REAL ESTATE LTD;SW7 3NH;LONDON;1002604;GB;UE;H;400002340;11.10.2023;01.11.2023;11.10.2023;- 824,38  EUR;EUR;;T;10-16 633/;CC REAL ESTATE LTD;2;;3;2587690
1000;PURO FLOW;75008;PARIS;1000149;FR;UE;H;400001318;11.10.2023;01.11.2023;11.10.2023;- 497,00  EUR;EUR;;T;OGP-11 410/;VIRT CDE 202305954 PURE FLOW;2;;3;2587690
1000;AC2R;69260;CHARBONNIERES LES BAINS;1001115;FR;UE;H;400001317;11.10.2023;01.11.2023;11.10.2023;- 6 009,40  EUR;EUR;;T;OGP-11 408/;VIRT CDE 202303444 AC2R;2;;3;2587690
1000;BATIROD;75019;PARIS;1000069;FR;UE;H;400001316;11.10.2023;01.11.2023;11.10.2023;- 1 572,16  EUR;EUR;;T;OGP-11 407/;VIRT CDE 202305951 STAVRIDI DENIS;2;;3;2587690
